Enterprise_id,Label,Registered_capital (Ten thousand Yuan),Province,Enterprise_type,Establishment_Duration (Days),Paid_in_capital (Ten thousand Yuan),Sector,SH_num,MS_num,CL_5years+,CL_5years,CL_4years,CL_3years,CL_2years,CL_1year,Branch_num,Certificate_num_5years+,Certificate_num_5years,Certificate_num_4years,Certificate_num_3years,Certificate_num_2years,Certificate_num_1year,Executee_num_5years+,Executee_num_5years,Executee_num_4years,Executee_num_3years,Executee_num_2years,Executee_num_1year,Overdue_tax_num_3years,Overdue_tax_num_2years,Overdue_tax_num_1year,Administrative_penalty_num_5years,Administrative_penalty_num_4years,Administrative_penalty_num_3years,Administrative_penalty_num_2years,Administrative_penalty_num_1year,Trademark_info_num_5years+,Trademark_info_num_5years,Trademark_info_num_4years,Trademark_info_num_3years,Trademark_info_num_2years,Trademark_info_num_1year,Patent_info_num_5years+,Patent_info_num_5years,Patent_info_num_4years,Patent_info_num_3years,Patent_info_num_2years,Patent_info_num_1year,Work_copyright_info_num_5years+,Work_copyright_info_num_5years,Work_copyright_info_num_4years,Work_copyright_info_num_3years,Work_copyright_info_num_2years,Work_copyright_info_num_1year,Software_copyright_info_num_5years+,Software_copyright_info_num_5years,Software_copyright_info_num_4years,Software_copyright_info_num_3years,Software_copyright_info_num_2years,Software_copyright_info_num_1year,t-1 Basic old-age insurance for urban employees,t-2 Basic old-age insurance for urban employees,t-3 Basic old-age insurance for urban employees,t-1 Unemployment insurance,t-2 Unemployment insurance,t-3 Unemployment insurance,t-1 Basic medical insurance for employees,t-2 Basic medical insurance for employees,t-3 Basic medical insurance for employees,t-1 Employment injury insurance,t-2 Employment injury insurance,t-3 Employment injury insurance,t-1 Birth insurance,t-2 Birth insurance,t-3 Birth insurance,Legal_proceedings_num_5years+,Legal_proceedings_num_5years,Legal_proceedings_num_4years,Legal_proceedings_num_3years,Legal_proceedings_num_2years,Legal_proceedings_num_1year,Filing_information_num_5years+,Filing_information_num_5years,Filing_information_num_4years,Filing_information_num_3years,Filing_information_num_2years,Filing_information_num_1years,Ratepaying_Credit_Grade_A_num
1426,0,3000,Shaanxi,Limited liability company (Natural person investment or holding),3308,3000,Wholesale and retail,2,2,8,0,3,14,7,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,9,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1427,0,5000,Tibet,Limited liability company (Natural person investment or holding),2063,482.0661,"Information transmission, software and information technology services",2,2,0,0,0,9,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,11,9,3,11,9,0,11,9,0,11,9,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428,0,2000,Tibet,Limited liability company (Natural person investment or holding),1504,2000,Construction industry,3,2,0,1,0,0,3,0,,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,53,53,9,0,0,9,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1429,0,4000,Tibet,Limited liability company (Natural person investment or holding),2637,1280,Construction industry,2,3,6,2,2,6,3,4,3,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1430,1,5000,Tibet,Limited liability company (sole proprietorship of natural person),858,100,Construction industry,1,2,0,0,0,7,12,3,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,,4,1,,4,1,,4,1,,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
1431,0,1000,Shaanxi,Limited liability company (Natural person investment or holding),987,900,"Agriculture, forestry, animal husbandry and fishery",2,2,0,0,0,4,1,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1432,0,4600,Shaanxi,Limited liability company (Natural person investment or holding),8766,2100,Construction industry,2,2,19,9,5,0,0,0,,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,2
1433,0,1000,Shaanxi,Limited liability company (Natural person investment or holding),1024,1000,Construction industry,2,2,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1434,0,5688,Fujian,Limited liability company (Natural person investment or holding),599,0,Construction industry,2,2,0,0,0,0,11,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,,42,,,13,,,44,,,13,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1435,0,4000,Xinjiang,Limited liability company (sole proprietorship of natural person),2360,2000,Construction industry,1,2,8,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,35,33,34,35,33,34,35,33,34,35,0,34,35,0,0,0,0,4,0,0,0,0,0,0,0,1
1436,0,3000,Xinjiang,Limited liability company (Natural person investment or holding),1222,3336,Construction industry,3,2,0,0,1,0,0,2,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,8,5,50,8,5,50,8,5,50,8,5,50,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1437,0,1200,Xinjiang,Limited liability company (sole proprietorship of natural person),1606,800,Construction industry,1,2,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438,0,5000,Xinjiang,Limited liability company (Natural person investment or holding),8075,5000,Wholesale and retail,2,2,30,0,0,0,16,0,2,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,44,43,25,44,43,25,44,43,25,44,43,25,44,43,0,4,5,1,1,0,0,3,6,0,1,0,1
1439,0,2000,Xinjiang,Limited liability company (Natural person investment or holding),5473,2000,Leasing and business services,4,2,15,0,5,1,5,2,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,11,21,23,11,22,24,11,21,24,11,21,23,11,0,0,2,0,0,1,1,2,0,1,0,1,4
1440,0,2000,Xinjiang,Limited liability company (Natural person investment or holding),3502,1000,Wholesale and retail,3,2,8,0,3,7,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,10,30,10,10,28,8,9,30,10,10,25,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,0,2800,Xinjiang,Limited liability company (Natural person investment or holding),3499,500,Wholesale and retail,2,2,16,0,0,9,0,5,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,4,9,35,35,25,35,35,25,35,35,25,35,35,25,35,35,25,0,0,0,0,0,0,0,0,0,0,0,0,1
1442,0,2100,Xinjiang,Limited liability company (Natural person investment or holding),5712,2100,"Information transmission, software and information technology services",2,2,13,1,8,0,7,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,39,30,25,39,30,25,40,30,25,39,30,25,39,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1443,0,800,Xinjiang,Limited liability company (sole proprietorship of natural person),1919,570.44,"Information transmission, software and information technology services",1,2,0,0,8,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
